"asset_tag","model_category","model","model.display_name","assigned_to","install_status","ci"
"A0000896987","IP Router","Cisco Systems, Inc. 4000 Integrated Services Router ISR4451-X/K9","Cisco Systems, Inc. 4000 Integrated Services Router ISR4451-X/K9","","In use","pgaatsp-sdwan-mdf-02"
"","IP Router","AudioCodes MediaPack Series MP-114","AudioCodes MediaPack Series MP-114","","In use","acl_9007499"
"","IP Router","AudioCodes MediaPack Series MP-114","AudioCodes MediaPack Series MP-114","","In use","acl_5756473"
"A0001764807","IP Router","Cisco Systems, Inc. Nexus 9300-FX2 Series 9336C-FX2","Cisco Systems, Inc. Nexus 9300-FX2 Series 9336C-FX2","","In use","pazshdc-nwu10-wr-02"
"","IP Router","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93108TC-FX3","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93108TC-FX3","","In use","lgs1502-06b-0110-oob-as22"
"","IP Router","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93108TC-FX3","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93108TC-FX3","","In use","lgs1402-07c-0204-mlf09"
"","IP Router","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93108TC-FX3","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93108TC-FX3","","In use","lgs1502-10c-0202-oob-as03"
"","IP Router","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93108TC-FX3","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93108TC-FX3","","In use","lgs1502-10c-0203-oob-as04"
"","IP Router","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93108TC-FX3","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93108TC-FX3","","In use","lgs1402-07c-0109-mlf06"
"","IP Router","Unknown","Unknown","","In use","ppaphcr-oob-mdf-01"
"4715927","IP Router","Cisco Systems, Inc. Catalyst 8300 Series C8300-1N1S-6T","Cisco Systems, Inc. Catalyst 8300 Series C8300-1N1S-6T","","In use","rcalhdi-sdwan-mdf-01"
"","IP Router","Infoblox Trinzic DDI Appliances 1415","Infoblox Trinzic DDI Appliances 1415","","In use","etxcbdcibxfwd-1"
"","IP Router","Cisco Systems, Inc. Nexus 9300-FX2 Series N9K-C93240YC-FX2","Cisco Systems, Inc. Nexus 9300-FX2 Series N9K-C93240YC-FX2","","In use","mid-l3-s29w13-ru37-lf2"
"","IP Router","XEROX EX B9100 Series Print Server","XEROX EX B9100 Series Print Server","","In use","b9125-pikachu"
"","IP Router","Cisco Systems, Inc. Nexus 9200 Series N9K-C92348GC-X","Cisco Systems, Inc. Nexus 9200 Series N9K-C92348GC-X","","In use","ri1-da46-r2-ru40-oob"
"","IP Router","Infoblox Trinzic DDI Appliances 2225","Infoblox Trinzic DDI Appliances 2225","","In use","ericudcdnsprdrxc-1"
"","IP Router","Cisco Systems, Inc. Nexus 9300-GX Series N9K-C9364C-GX","Cisco Systems, Inc. Nexus 9300-GX Series N9K-C9364C-GX","","In use","ri1-dc46-r3-ru31-sp3"
"","IP Router","Unknown","Unknown","","In use","pazshdc-sec-extftd-03"
"","IP Router","AudioCodes MediaPack Series MP-114","AudioCodes MediaPack Series MP-114","","In use","acl_7653053"
"","IP Router","Cisco Systems, Inc. Nexus 9300-FX2 Series N9K-C93240YC-FX2","Cisco Systems, Inc. Nexus 9300-FX2 Series N9K-C93240YC-FX2","","In use","az1-x41-r3-ru37-lf2"
"4715541","IP Router","Cisco Systems, Inc. Catalyst 8300 Series C8300-1N1S-6T","Cisco Systems, Inc. Catalyst 8300 Series C8300-1N1S-6T","","In use","rvafrdi-sdwan-mdf-02"
"","IP Router","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93108TC-FX3","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93108TC-FX3","","In use","lgs1502-06b-0204-mlf05"
"","IP Router","AudioCodes MediaPack Series MP-114","AudioCodes MediaPack Series MP-114","","In use","acl_9008676"
"","IP Router","AudioCodes MediaPack Series MP-114","AudioCodes MediaPack Series MP-114","","In use","acl_9124065"
"","IP Router","AudioCodes MediaPack Series MP-114","AudioCodes MediaPack Series MP-114","","In use","acl_9124014"
"","IP Router","Cisco Systems, Inc. Nexus 9200 Series N9K-C92348GC-X","Cisco Systems, Inc. Nexus 9200 Series N9K-C92348GC-X","","In use","ri1-cz46-r1-ru40-oob"
"","IP Router","Unknown","Unknown","","In use","pmdcosp-oob-mdf-01"
"A0001776870","IP Router","Cisco Systems, Inc. Nexus 9300-FX2 Series 9336C-FX2","Cisco Systems, Inc. Nexus 9300-FX2 Series 9336C-FX2","","In use","pazshdc-9336-nw-v07-fwout-1"
"","IP Router","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93108TC-FX3","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93108TC-FX3","","In use","lgs1502-06b-0201-mlf03"
"","IP Router","Unknown","Unknown","","In use","pazshdc-sec-extsipa-01"
"","IP Router","Infoblox Trinzic DDI Appliances 2225","Infoblox Trinzic DDI Appliances 2225","","In use","mid-gridmaster"
"","IP Router","Cisco Systems, Inc. Nexus 9300-GX2 Series N9K-C9332D-GX2B","Cisco Systems, Inc. Nexus 9300-GX2 Series N9K-C9332D-GX2B","","In use","lgs1502-06b-0110-csp04"
"","IP Router","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93108TC-FX3","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93108TC-FX3","","In use","lgs1502-06b-0203-mlf04"
"","IP Router","Cisco Systems, Inc. Nexus 9300-FX2 Series 9336C-FX2","Cisco Systems, Inc. Nexus 9300-FX2 Series 9336C-FX2","","In use","ri1-cz46-r1-ru34-lf1"
"","IP Router","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93108TC-FX3","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93108TC-FX3","","In use","lgs1502-10c-0102-nlf07"
"","IP Router","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93108TC-FX3","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93108TC-FX3","","In use","lgs1502-10c-0103-nlf08"
"","IP Router","AudioCodes MediaPack Series MP-114","AudioCodes MediaPack Series MP-114","","In use","acl_9007572"
"","IP Router","Infoblox Trinzic DDI Appliances 2225","Infoblox Trinzic DDI Appliances 2225","","In use","eazshdcprdibx73"
"","IP Router","Cisco Systems, Inc. Nexus 9300 Series Switches N9K-C9364C","Cisco Systems, Inc. Nexus 9300 Series Switches N9K-C9364C","","In use","ri2-aj84-r1-ru31-sp1"
"4715548","IP Router","Cisco Systems, Inc. Catalyst 8300 Series C8300-1N1S-6T","Cisco Systems, Inc. Catalyst 8300 Series C8300-1N1S-6T","","In use","rcalhdi-sdwan-mdf-02"
"","IP Router","AudioCodes MediaPack Series MP-114","AudioCodes MediaPack Series MP-114","","In use","acl_9007778"
"","IP Router","AudioCodes MediaPack Series MP-114","AudioCodes MediaPack Series MP-114","","In use","acl_9007453"
