"asset_tag","model_category","model","model.display_name","assigned_to","install_status","ci"
"3728556","Network Gear","Cisco Systems, Inc. Catalyst 3850 Series Switches WS-C3850-48T-E","Cisco Systems, Inc. Catalyst 3850 Series Switches WS-C3850-48T-E","","In use","win-ss-l2-edmz-1_old"
"3959431","Network Gear","Cisco Systems, Inc. Catalyst 3850 Series Switches WS-C3850-48T-E","Cisco Systems, Inc. Catalyst 3850 Series Switches WS-C3850-48T-E","","In use","win-ss-l2-pca-1"
"A0004854511","Network Gear","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93180YC-FX3","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93180YC-FX3","","In use","rriwsdc-aci-leaf-de04-29"
"3025477","Network Gear","Cisco Systems, Inc. Catalyst 3750-X Series Switches 3750X-24P-E","Cisco Systems, Inc. Catalyst 3750-X Series Switches 3750X-24P-E","","In use","mid-ss-l2-atas-1"
"4672015","Network Gear","Cisco Systems, Inc. CATALYST 9300-24P","Cisco Systems, Inc. CATALYST 9300-24P","","In use","rvapoom-acc-mdf-01-FJC272028N0"
"A0001577789","Network Gear","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93180YC-FX3","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93180YC-FX3","","In use","pazshdc-aci-leaf-y55-68"
"4674570","Network Gear","Cisco Systems, Inc. CATALYST 9300-24P","Cisco Systems, Inc. CATALYST 9300-24P","","In use","rvapoom-acc-mdf-01-FJC2720299E"
"A0004854517","Network Gear","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93180YC-FX3","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93180YC-FX3","","In use","rriwsdc-aci-leaf-bg06-31"
"M154917","Network Gear","Cisco Systems, Inc. Catalyst 3850 Series Switches WS-C3850-48T-E","Cisco Systems, Inc. Catalyst 3850 Series Switches WS-C3850-48T-E","","In use","mid-ss-l2-ief-1"
"A0000685903","Network Gear","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","","In use",""
"A0004480623","Network Gear","Cisco Systems, Inc. Aironet 1540 Series AIR-AP1542D-B-K9","Cisco Systems, Inc. Aironet 1540 Series AIR-AP1542D-B-K9","","In use","RCALHDI-AP-EXT-CC07-011"
"A0004519400","Network Gear","Cisco Systems, Inc. Catalyst 9130AX Series Access Points C9130AXE-B","Cisco Systems, Inc. Catalyst 9130AX Series Access Points C9130AXE-B","","In use","RNJLUDI-AP-L3-CA15-124"
"A0000680497","Network Gear","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","","In use",""
"A0000683774","Network Gear","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","","In use",""
"3883524","Network Gear","Cisco Systems, Inc. Catalyst 3850 Series Switches WS-C3850-24XS-E","Cisco Systems, Inc. Catalyst 3850 Series Switches WS-C3850-24XS-E","","In use","pdc-ss-vdc-dmz-2"
"A0004810071","Network Gear","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93180YC-FX3","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93180YC-FX3","","In use","rriwsdc-aci-leaf-ac60-34"
"A0004854505","Network Gear","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93180YC-FX3","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93180YC-FX3","","In use","rriwsdc-aci-leaf-cz04-30"
"3937976","Network Gear","Cisco Systems, Inc. Catalyst 3850 Series Switches WS-C3850-24XS-E","Cisco Systems, Inc. Catalyst 3850 Series Switches WS-C3850-24XS-E","","In use","pdc-ss-vdc-rig-vpnin-1"
"A0000682281","Network Gear","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","","In use",""
"A0001497849","Network Gear","Cisco Systems, Inc. Small Business 300 Series Managed Switches SG300-10MPP-K9-NA","Cisco Systems, Inc. Small Business 300 Series Managed Switches SG300-10MPP-K9-NA","","In use",""
"A0004854506","Network Gear","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93180YC-FX3","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93180YC-FX3","","In use","rriwsdc-aci-leaf-bc25-32"
"4672539","Network Gear","Cisco Systems, Inc. CATALYST 9300-24P","Cisco Systems, Inc. CATALYST 9300-24P","","In use","rvapoom-acc-mdf-01-FJC27072AZ9"
"A0001497848","Network Gear","Cisco Systems, Inc. Small Business 300 Series Managed Switches SG300-10MPP-K9-NA","Cisco Systems, Inc. Small Business 300 Series Managed Switches SG300-10MPP-K9-NA","","In use",""
"A0000918390","Network Gear","Riverbed Technology SteelHead CX7070 Series CXA-07070-B030-C","Riverbed Technology SteelHead CX7070 Series CXA-07070-B030-C","","In use",""
"A0001463499","Network Gear","Cisco Systems, Inc. Aironet 2700 Series AIR-CAP2702E-B-K9","Cisco Systems, Inc. Aironet 2700 Series AIR-CAP2702E-B-K9","","In use","RCALHDI-AP-L1-CA10-039"
"3944485","Network Gear","Cisco Systems, Inc. 4000 Integrated Services Router ISR4431/K9","Cisco Systems, Inc. 4000 Integrated Services Router ISR4431/K9","","In use","mid-rr-l2-attsip-ipfr-test-1"
"A0000683425","Network Gear","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","","In use",""
"A0000679921","Network Gear","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","","In use",""
"A0001781843","Network Gear","Cisco Systems, Inc. CATALYST 9300-24P","Cisco Systems, Inc. CATALYST 9300-24P","","In use","rnjludi-acc-tcb05-03-FJC24461APL"
"A0001586686","Network Gear","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93180YC-FX3","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93180YC-FX3","","In use","pazshdc-aci-leaf-n12-70"
"4268485","Network Gear","Cisco Systems, Inc. ASR 1000 Series ASR1001-X","Cisco Systems, Inc. ASR 1000 Series ASR1001-X","","In use","win-rr-l2-clsip-vcomp-1"
"3676655","Network Gear","Cisco Systems, Inc. ASR 1000 Series ASR1001-X","Cisco Systems, Inc. ASR 1000 Series ASR1001-X","","In use","win-rr-l2-attsip-iptf-1"
"A0000645595","Network Gear","Cisco Systems, Inc. 4500E Supervisor Engine 7-E WS-X45-SUP7-E","Cisco Systems, Inc. 4500E Supervisor Engine 7-E WS-X45-SUP7-E","","In use",""
"4268487","Network Gear","Cisco Systems, Inc. ASR 1000 Series ASR1001-X","Cisco Systems, Inc. ASR 1000 Series ASR1001-X","","In use","win-rr-l2-clsip-voip19-1"
"A0001906081","Network Gear","Cisco Systems, Inc. 4000 Integrated Services Router ISR4431","Cisco Systems, Inc. 4000 Integrated Services Router ISR4431","","In use","rnhloom-mpls-mdf-01"
"A0001781840","Network Gear","Cisco Systems, Inc. CATALYST 9300-24P","Cisco Systems, Inc. CATALYST 9300-24P","","In use","rnjludi-acc-tcb05-03-FJC24461A4W"
"A0000645600","Network Gear","Cisco Systems, Inc. 4500E Supervisor Engine 7-E WS-X45-SUP7-E","Cisco Systems, Inc. 4500E Supervisor Engine 7-E WS-X45-SUP7-E","","In use",""
"M154928","Network Gear","Cisco Systems, Inc. Catalyst 3850 Series Switches WS-C3850-48T-E","Cisco Systems, Inc. Catalyst 3850 Series Switches WS-C3850-48T-E","","In use","pdc-ss-vdc-cvty-6"
"A0004854531","Network Gear","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93180YC-FX3","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93180YC-FX3","","In use","rriwsdc-aci-leaf-an56-33"
"A0001781849","Network Gear","Cisco Systems, Inc. CATALYST 9300-24P","Cisco Systems, Inc. CATALYST 9300-24P","","In use","rnjludi-acc-tcb05-03-FJC24461BC4"
"A0000964755","Network Gear","Cisco Systems, Inc. CATALYST 9300-24P","Cisco Systems, Inc. CATALYST 9300-24P","","In use","rtxsaom-dis-mdf-02"
"A0001586115","Network Gear","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93180YC-FX3","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93180YC-FX3","","In use","pazshdc-aci-leaf-ee36-71"
"A0001586685","Network Gear","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93180YC-FX3","Cisco Systems, Inc. Nexus 9300-FX3 Series N9K-C93180YC-FX3","","In use","pazshdc-aci-leaf-ee36-72"
"A0001781829","Network Gear","Cisco Systems, Inc. CATALYST 9300-24P","Cisco Systems, Inc. CATALYST 9300-24P","","In use","rnjludi-acc-tcb05-03-FJC244615B7"
"A0001463337","Network Gear","Cisco Systems, Inc. Aironet 2700 Series AIR-CAP2702E-B-K9","Cisco Systems, Inc. Aironet 2700 Series AIR-CAP2702E-B-K9","","In use","RCALHDI-AP-L1-CA03-012"
"A0003139452","Network Gear","Cisco Systems, Inc. Nexus 9300-FX Series Switches N9K-C93180YC-FX","Cisco Systems, Inc. Nexus 9300-FX Series Switches N9K-C93180YC-FX","","In use","pazshdc-aci-bleaf-x15-04"
"3944488","Network Gear","Cisco Systems, Inc. 4000 Integrated Services Router ISR4431/K9","Cisco Systems, Inc. 4000 Integrated Services Router ISR4431/K9","","In use","mid-rr-l2-attsip-iptf-test-1"
"A0004519425","Network Gear","Cisco Systems, Inc. Catalyst 9130AX Series Access Points C9130AXE-B","Cisco Systems, Inc. Catalyst 9130AX Series Access Points C9130AXE-B","","In use","RNJLUDI-AP-L1-CB03-005"
"A0000680484","Network Gear","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","","In use",""
"M007946","Network Gear","Cisco Systems, Inc. ASR 1000 Series ASR1001-X","Cisco Systems, Inc. ASR 1000 Series ASR1001-X","","In use","win-rr-l2-attsip-ipfr-1"
"A0003139442","Network Gear","Cisco Systems, Inc. Nexus 9300-FX Series Switches N9K-C93180YC-FX","Cisco Systems, Inc. Nexus 9300-FX Series Switches N9K-C93180YC-FX","","In use","pazshdc-aci2-bleaf-j18-03"
"A0004457293","Network Gear","Dell Inc. PowerSwitch S5212F","Dell Inc. PowerSwitch S5212F","","In use",""
"A0002617866","Network Gear","Cisco Systems, Inc. Nexus 9300-FX Series Switches N9K-C93180YC-FX","Cisco Systems, Inc. Nexus 9300-FX Series Switches N9K-C93180YC-FX","","In use","rricmdc-aci-bleaf-f63-03"
"A0004484129","Network Gear","Cisco Systems, Inc. Catalyst 9130AX Series Access Points C9130AXE-B","Cisco Systems, Inc. Catalyst 9130AX Series Access Points C9130AXE-B","","In use","RPASTDI-AP-L2-CA09-186"
"A0003139450","Network Gear","Cisco Systems, Inc. Nexus 9300-FX Series Switches N9K-C93180YC-FX","Cisco Systems, Inc. Nexus 9300-FX Series Switches N9K-C93180YC-FX","","In use","rricmdc-aci-bleaf-f28-04"
"A0000682651","Network Gear","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","","In use",""
"A0000645604","Network Gear","Cisco Systems, Inc. 4500E Supervisor Engine 7-E WS-X45-SUP7-E","Cisco Systems, Inc. 4500E Supervisor Engine 7-E WS-X45-SUP7-E","","In use",""
"A0000681643","Network Gear","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","","In use",""
"A0000684361","Network Gear","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","","In use",""
"4359003","Network Gear","Cisco Systems, Inc. Catalyst 9300 Series Switches C9300-24UX-A","Cisco Systems, Inc. Catalyst 9300 Series Switches C9300-24UX-A","","In use",""
"A0001077850","Network Gear","Cisco Systems, Inc. Catalyst 3850 Series Switches WS-C3850-48F-E","Cisco Systems, Inc. Catalyst 3850 Series Switches WS-C3850-48F-E","","In use",""
"C3737513","Network Gear","Cisco Systems, Inc. 800 Series 802","Cisco Systems, Inc. 800 Series 802","","In use",""
"A0004853767","Network Gear","Cisco Systems, Inc. CATALYST 9300-24P","Cisco Systems, Inc. CATALYST 9300-24P","","In use","rcogoom-acc-mdf-02-FJC28201DYH"
"A0000683700","Network Gear","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","","In use",""
"A0000684675","Network Gear","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","","In use",""
"C3775908","Network Gear","Cisco Systems, Inc. Aironet 3800 Series AIR-AP3802I-B-K9","Cisco Systems, Inc. Aironet 3800 Series AIR-AP3802I-B-K9","","In use","ANJ-AP-L1-20"
"A0001906044","Network Gear","Cisco Systems, Inc. 4000 Integrated Services Router ISR4431","Cisco Systems, Inc. 4000 Integrated Services Router ISR4431","","In use","rnjedom-mpls-mdf-02"
"A0000685174","Network Gear","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","","In use",""
"A0003139446","Network Gear","Cisco Systems, Inc. Nexus 9300-FX Series Switches N9K-C93180YC-FX","Cisco Systems, Inc. Nexus 9300-FX Series Switches N9K-C93180YC-FX","","In use","pazshdc-aci2-bleaf-aa15-04"
"A0001776128","Network Gear","Cisco Systems, Inc. 4000 Integrated Services Router ISR4431","Cisco Systems, Inc. 4000 Integrated Services Router ISR4431","","In use","rcogoom-mpls-mdf-02"
"A0000685965","Network Gear","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","","In use",""
"A0001489003","Network Gear","Cisco Systems, Inc. Nexus 9300-EX Series 93180YC-EX","Cisco Systems, Inc. Nexus 9300-EX Series 93180YC-EX","","In use","priwsdc-dmz-sdw-ca31-02"
"A0000686967","Network Gear","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","","In use",""
"A0004853852","Network Gear","Cisco Systems, Inc. CATALYST 9300-24P","Cisco Systems, Inc. CATALYST 9300-24P","","In use","rcogoom-acc-mdf-02-FJC28181BGK"
"A0000682679","Network Gear","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","","In use",""
"A0001462594","Network Gear","Cisco Systems, Inc. Aironet 2700 Series AIR-CAP2702E-B-K9","Cisco Systems, Inc. Aironet 2700 Series AIR-CAP2702E-B-K9","","In use","RCALHDI-AP-L1-CG01-XXX"
"A0004520730","Network Gear","Cisco Systems, Inc. Catalyst 9130AX Series Access Points C9130AXE-B","Cisco Systems, Inc. Catalyst 9130AX Series Access Points C9130AXE-B","","In use","RFLORDI-AP-L3-CA07-200"
"A0000686096","Network Gear","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","","In use",""
"A0000684432","Network Gear","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","","In use",""
"A0001478777","Network Gear","Cisco Systems, Inc. Catalyst 3850 Series Switches WS-C3850-48F-E","Cisco Systems, Inc. Catalyst 3850 Series Switches WS-C3850-48F-E","","In use",""
"A0004853821","Network Gear","Cisco Systems, Inc. CATALYST 9300-24P","Cisco Systems, Inc. CATALYST 9300-24P","","In use","rcogoom-acc-mdf-02"
"A0003139454","Network Gear","Cisco Systems, Inc. Nexus 9300-FX Series Switches N9K-C93180YC-FX","Cisco Systems, Inc. Nexus 9300-FX Series Switches N9K-C93180YC-FX","","In use","rriwsdc-aci-bleaf-bg06-03"
"A0001463010","Network Gear","Cisco Systems, Inc. Aironet 2700 Series AIR-CAP2702E-B-K9","Cisco Systems, Inc. Aironet 2700 Series AIR-CAP2702E-B-K9","","In use","RCALHDI-AP-L1-CA06-702"
"A0000966122","Network Gear","Cisco Systems, Inc. 4000 Integrated Services Router ISR4351/k9","Cisco Systems, Inc. 4000 Integrated Services Router ISR4351/k9","","In use","rwatuom-vgr-mdf-01"
"A0001845269","Network Gear","Cisco Systems, Inc. Application Policy Infrastructure Controller APIC-SERVER-L2","Cisco Systems, Inc. Application Policy Infrastructure Controller APIC-SERVER-L2","","In use","rriwsdc-aci-apic-bg06-01"
"A0000683486","Network Gear","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","","In use",""
"A0004521016","Network Gear","Cisco Systems, Inc. Catalyst 9130AX Series Access Points C9130AXE-B","Cisco Systems, Inc. Catalyst 9130AX Series Access Points C9130AXE-B","","In use","RRIWFDI-AP-L1-CA05-065"
"A0001462588","Network Gear","Cisco Systems, Inc. Aironet 2700 Series AIR-CAP2702E-B-K9","Cisco Systems, Inc. Aironet 2700 Series AIR-CAP2702E-B-K9","","In use","RCALHDI-AP-L1-CA07-072"
"A0000680558","Network Gear","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","","In use",""
"A0001771821","Network Gear","Cisco Systems, Inc. 4000 Integrated Services Router ISR4431","Cisco Systems, Inc. 4000 Integrated Services Router ISR4431","","In use","razchom-mpls-mdf-01"
"A0003139451","Network Gear","Cisco Systems, Inc. Nexus 9300-FX Series Switches N9K-C93180YC-FX","Cisco Systems, Inc. Nexus 9300-FX Series Switches N9K-C93180YC-FX","","In use","pazshdc-aci-bleaf-d18-03"
"A0004853733","Network Gear","Cisco Systems, Inc. CATALYST 9300-24P","Cisco Systems, Inc. CATALYST 9300-24P","","In use","rcogoom-acc-mdf-01-FJC282014ZG"
"A0004852282","Network Gear","Cisco Systems, Inc. Catalyst 9300 Series Switches C9300-48T","Cisco Systems, Inc. Catalyst 9300 Series Switches C9300-48T","","In use","hlb-ss-labdmz-3"
"A0004520749","Network Gear","Cisco Systems, Inc. Catalyst 9130AX Series Access Points C9130AXE-B","Cisco Systems, Inc. Catalyst 9130AX Series Access Points C9130AXE-B","","In use","RFLORDI-AP-L3-CA09-169"
"A0001776130","Network Gear","Cisco Systems, Inc. 4000 Integrated Services Router ISR4431","Cisco Systems, Inc. 4000 Integrated Services Router ISR4431","","In use","rcaceom-mpls-mdf-01"
"A0000989780","Network Gear","Cisco Systems, Inc. 880 Series Integrated Services Routers 881","Cisco Systems, Inc. 880 Series Integrated Services Routers 881","Kerry Franklin","In use",""
"A0001463344","Network Gear","Cisco Systems, Inc. Aironet 2700 Series AIR-CAP2702E-B-K9","Cisco Systems, Inc. Aironet 2700 Series AIR-CAP2702E-B-K9","","In use","RCALHDI-AP-L1-CC08-008"
"A0004852131","Network Gear","Cisco Systems, Inc. Catalyst 9300 Series Switches C9300-48T","Cisco Systems, Inc. Catalyst 9300 Series Switches C9300-48T","","In use","hlb-ss-labdmz-4"
"A0001906069","Network Gear","Cisco Systems, Inc. 4000 Integrated Services Router ISR4431","Cisco Systems, Inc. 4000 Integrated Services Router ISR4431","","In use","rnjedom-mpls-mdf-01"
"A0000685436","Network Gear","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","","In use",""
"A0004520772","Network Gear","Cisco Systems, Inc. Catalyst 9130AX Series Access Points C9130AXE-B","Cisco Systems, Inc. Catalyst 9130AX Series Access Points C9130AXE-B","","In use","RFLORDI-AP-L3-CA09-143"
"C3776470","Network Gear","Cisco Systems, Inc. Aironet 2800 Series AIR-AP2802I-B-K9","Cisco Systems, Inc. Aironet 2800 Series AIR-AP2802I-B-K9","","In use","RDL-AP-L1-2"
"A0000686954","Network Gear","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","","In use",""
"","Network Gear","Unknown","Unknown","","In use","cme-fw-hubprodglr-3"
"A0004853826","Network Gear","Cisco Systems, Inc. CATALYST 9300-24P","Cisco Systems, Inc. CATALYST 9300-24P","","In use","rcogoom-acc-mdf-01-FJC28201CQJ"
"A0000682008","Network Gear","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","","In use",""
"A0000682037","Network Gear","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","","In use",""
"A0000738766","Network Gear","Cisco Systems, Inc. Nexus 7000 Series Supervisor 2 Module N7K-SUP2E=","Cisco Systems, Inc. Nexus 7000 Series Supervisor 2 Module N7K-SUP2E=","","In use",""
"A0000725828","Network Gear","Cisco Systems, Inc. Nexus 7000 Series Supervisor 2 Module N7K-SUP2E=","Cisco Systems, Inc. Nexus 7000 Series Supervisor 2 Module N7K-SUP2E=","","In use",""
"A0001776202","Network Gear","Cisco Systems, Inc. 4000 Integrated Services Router ISR4431","Cisco Systems, Inc. 4000 Integrated Services Router ISR4431","","In use","rokokom-mpls-mdf-01"
"A0000737889","Network Gear","Cisco Systems, Inc. Catalyst 38xxstack","Cisco Systems, Inc. Catalyst 38xxstack","","In use","ppawbmo-acc-idf08-01"
"A0000686578","Network Gear","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","","In use",""
"3056400","Network Gear","Cisco Systems, Inc. Nexus 7000 Series Switches N7K-C7018","Cisco Systems, Inc. Nexus 7000 Series Switches N7K-C7018","","In use","win-ss-l2-lightfarm1-2"
"A0001788778","Network Gear","Cisco Systems, Inc. 4000 Integrated Services Router ISR4431","Cisco Systems, Inc. 4000 Integrated Services Router ISR4431","","In use","rgacoom-mpls-mdf-02"
"A0000684653","Network Gear","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","","In use",""
"A0000686791","Network Gear","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","","In use",""
"A0000738763","Network Gear","Cisco Systems, Inc. Nexus 7000 Supervisor 2E Module N7K-SUP2E","Cisco Systems, Inc. Nexus 7000 Supervisor 2E Module N7K-SUP2E","","In use",""
"A0000738764","Network Gear","Cisco Systems, Inc. Nexus 7000 Supervisor 2E Module N7K-SUP2E","Cisco Systems, Inc. Nexus 7000 Supervisor 2E Module N7K-SUP2E","","In use",""
"A0000738760","Network Gear","Cisco Systems, Inc. Nexus 7000 Supervisor 2E Module N7K-SUP2E","Cisco Systems, Inc. Nexus 7000 Supervisor 2E Module N7K-SUP2E","","In use",""
"A0000738762","Network Gear","Cisco Systems, Inc. Nexus 7000 Supervisor 2E Module N7K-SUP2E","Cisco Systems, Inc. Nexus 7000 Supervisor 2E Module N7K-SUP2E","","In use",""
"A0000738759","Network Gear","Cisco Systems, Inc. Nexus 7000 Supervisor 2E Module N7K-SUP2E","Cisco Systems, Inc. Nexus 7000 Supervisor 2E Module N7K-SUP2E","","In use",""
"A0000738761","Network Gear","Cisco Systems, Inc. Nexus 7000 Supervisor 2E Module N7K-SUP2E","Cisco Systems, Inc. Nexus 7000 Supervisor 2E Module N7K-SUP2E","","In use",""
"A0000738758","Network Gear","Cisco Systems, Inc. Nexus 7000 Supervisor 2E Module N7K-SUP2E","Cisco Systems, Inc. Nexus 7000 Supervisor 2E Module N7K-SUP2E","","In use",""
"A0000738756","Network Gear","Cisco Systems, Inc. Nexus 7000 Supervisor 2E Module N7K-SUP2E","Cisco Systems, Inc. Nexus 7000 Supervisor 2E Module N7K-SUP2E","","In use",""
"A0000685314","Network Gear","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","","In use",""
"A0004523413","Network Gear","Cisco Systems, Inc. CATALYST 9300-24P","Cisco Systems, Inc. CATALYST 9300-24P","","In use","pazshdc-wifi-idf17-01"
"A0000738757","Network Gear","Cisco Systems, Inc. Nexus 7000 Supervisor 2E Module N7K-SUP2E","Cisco Systems, Inc. Nexus 7000 Supervisor 2E Module N7K-SUP2E","","In use",""
"A0000865132","Network Gear","Cisco Systems, Inc. Nexus 7000 Supervisor 2E Module N7K-SUP2E","Cisco Systems, Inc. Nexus 7000 Supervisor 2E Module N7K-SUP2E","","In use",""
"A0000865129","Network Gear","Cisco Systems, Inc. Nexus 7000 Supervisor 2E Module N7K-SUP2E","Cisco Systems, Inc. Nexus 7000 Supervisor 2E Module N7K-SUP2E","","In use",""
"A0001781826","Network Gear","Cisco Systems, Inc. 4000 Integrated Services Router ISR4431","Cisco Systems, Inc. 4000 Integrated Services Router ISR4431","","In use","rmokaom-mpls-mdf-01"
"A0000685792","Network Gear","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","","In use",""
"A0003139445","Network Gear","Cisco Systems, Inc. Nexus 9300-FX Series Switches N9K-C93180YC-FX","Cisco Systems, Inc. Nexus 9300-FX Series Switches N9K-C93180YC-FX","","In use","rriwsdc-aci-bleaf-bc25-04"
"4258840","Network Gear","Cisco Systems, Inc. CATALYST 9300-24P","Cisco Systems, Inc. CATALYST 9300-24P","","In use","pazshdc-wifi-idf12-01"
"A0001776188","Network Gear","Cisco Systems, Inc. 4000 Integrated Services Router ISR4431","Cisco Systems, Inc. 4000 Integrated Services Router ISR4431","","In use","rohciom-mpls-mdf-02"
"A0001531207","Network Gear","Cisco Systems, Inc. Catalyst 4500 Series Switches 4510R+E","Cisco Systems, Inc. Catalyst 4500 Series Switches 4510R+E","","In use","ppawbmo-acc-idf15a-01"
"A0000684734","Network Gear","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","","In use",""
"4258725","Network Gear","Cisco Systems, Inc. CATALYST 9300-24P","Cisco Systems, Inc. CATALYST 9300-24P","","In use","pazshdc-wifi-idf05-01"
"A0004518524","Network Gear","Cisco Systems, Inc. Catalyst 9130AX Series Access Points C9130AXE-B","Cisco Systems, Inc. Catalyst 9130AX Series Access Points C9130AXE-B","","In use","RTXCEDI-AP-L2-CA04-075"
"A0001788752","Network Gear","Cisco Systems, Inc. 4000 Integrated Services Router ISR4431","Cisco Systems, Inc. 4000 Integrated Services Router ISR4431","","In use","rgacoom-mpls-mdf-01"
"A0000683185","Network Gear","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","Cisco Systems, Inc. 2900 Series Integrated Services Routers C2911-SEC/K9","","In use",""
