SITE_CODE,CANONICAL_NAME,LOCATION_TYPE,CITY,STATE,COUNTRY,ADDRESS,BASE_IP,HERITAGE,STATUS,NET_TYPE,DATASET_VERSION,HOSTNAME_PREFIX,LATITUDE,LONGITUDE,REGION,FACILITY_OWNER,CSNA_SITE_NAME,NMS_PATH_FRAGMENT,NOTE
US_NY_02437_RT,Bronx NY - Store 02437,Retail,Bronx,NY,US,"732 Allerton Ave., Bronx, NY 10467",172.30.210.128,CVS,Active,Retail-Store,v5.20,,,,Northeast,Leased,,,
US_NY_02438_RT,Bronx NY - Store 02438,Retail,Bronx,NY,US,"282 East 149th St., Bronx, NY 10451",172.30.210.192,CVS,Active,Retail-Store,v5.20,,,,Northeast,Leased,,,
US_NY_02551_RT,Bronx NY - Store 02551,Retail,Bronx,NY,US,"3125 BAINBRIDGE AVE, Bronx, NY 10458",172.31.59.192,CVS,Active,Retail-Store,v5.20,,,,Northeast,Leased,,,
US_NY_03096_RT,Bronx NY - Store 03096,Retail,Bronx,NY,US,"3775-3779 east tremont ave, Bronx, NY 10465",172.17.248.0,CVS,Active,Retail-Store,v5.20,,,,Northeast,Leased,,,
US_NY_07066_RT,Bronx NY - Store 07066,Retail,Bronx,NY,US,"565 West 235th Street, Bronx, NY 10463",172.29.56.192,CVS,Active,Retail-Store,v5.20,,,,Northeast,Leased,,,
US_NY_07067_RT,Bronx NY - Store 07067,Retail,Bronx,NY,US,"1916 Williamsbridge Road, Bronx, NY 10461",172.30.182.192,CVS,Active,Retail-Store,v5.20,,,,Northeast,Leased,,,
US_NY_08940_RT,Bronx NY - Store 08940,Retail,Bronx,NY,US,"1688 Westchester Ave, Bronx, NY 10472",172.28.169.64,CVS,Active,Retail-Store,v5.20,,,,Northeast,Leased,,,
US_NY_08969_RT,Bronx NY - Store 08969,Retail,Bronx,NY,US,"150 E 167th, Bronx, NY 10452",172.31.196.128,CVS,Active,Retail-Store,v5.20,,,,Northeast,Leased,,,
US_NY_16921_RT,Bronx NY - Store 16921,Retail,Bronx,NY,US,"40 W 225th St, Bronx, NY 10463",172.24.8.0,CVS,Active,Retail-Store,v5.20,,,,Northeast,Leased,,,
US_NY_17526_RT,Bronx NY - Store 17526,Retail,Bronx,NY,US,"700 Exterior St, Bronx, NY 10451",172.24.157.192,CVS,Active,Retail-Store,v5.20,,,,Northeast,Leased,,,
US_NY_17649_RT,Bronx NY - Store 17649,Retail,Bronx,NY,US,"815 Hutchinson River Pkwy, Bronx, NY 10465",172.24.187.192,CVS,Active,Retail-Store,v5.20,,,,Northeast,Leased,,,
US_NY_17828_RT,Bronx NY - Store 17828,Retail,Bronx,NY,US,"215 East Fordham Road, Bronx, NY 10458",172.19.134.64,CVS,Active,Retail-Store,v5.20,,,,Northeast,Leased,,,
